BraidHi3800r2.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
90,516815.0180,3729596.1765,-0.1599,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,516816.1054,3729599.2310,-0.3093,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,516814.5200,3729601.8316,-0.2591,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,516812.9177,3729604.4660,0.0814,0.0025,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,516819.7475,3729588.7034,-0.0119,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,516819.5664,3729593.8309,-0.0934,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,516833.3199,3729581.7322,0.1221,0.1852,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,516824.5532,3729586.3548,0.0426,0.1064,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,516828.9440,3729584.0360,0.0868,0.1389,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,516842.2670,3729582.8767,0.1080,0.0060,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,516845.3481,3729584.9902,-0.1486,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,516845.3236,3729587.9231,-0.1155,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,516837.8430,3729583.4692,0.1208,0.2462,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,516772.6504,3729656.5962,0.8082,2.9601,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,516779.4432,3729613.0535,0.5042,0.6900,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,516781.1988,3729610.1346,0.3776,0.5482,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
106,516793.9977,3729604.3392,0.0189,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,516789.1789,3729607.1921,0.5988,0.1234,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
108,516790.7770,3729604.4524,0.4731,0.1325,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,516786.0293,3729607.2741,0.5863,0.0640,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
110,516782.8433,3729607.3362,0.2541,0.5855,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,516793.8657,3729571.6298,0.2598,0.6549,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
112,516796.0294,3729575.1491,0.1332,0.6167,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113,516797.8221,3729579.2119,0.1329,0.1863,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
114,516795.6076,3729601.5523,-0.1989,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,516797.3589,3729598.6938,-0.1515,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
116,516800.3252,3729583.3768,-0.0502,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
117,516800.5299,3729593.8826,0.2366,0.0204,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
118,516800.5359,3729588.5368,0.0639,0.0120,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
119,516779.2383,3729618.7568,-0.0445,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
120,516777.6591,3729621.5204,0.0183,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121,516777.6786,3729615.9343,0.5547,0.5719,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122,516776.1187,3729613.1155,0.7527,0.6048,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,516778.0068,3729646.8917,0.4737,1.2459,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,516777.0582,3729647.6774,0.7997,1.7110,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,516776.2479,3729649.1154,0.7481,2.6231,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
126,516775.8280,3729650.8402,0.8132,2.8652,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
127,516774.2388,3729651.8325,0.9787,2.9296,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,516772.6526,3729654.7128,0.9389,2.8805,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,516771.0502,3729655.6242,0.6915,2.6704,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
130,516774.2256,3729653.7657,1.0273,2.8858,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
131,516774.2086,3729655.6671,0.9757,3.0211,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
132,516774.2683,3729657.5936,1.0107,2.8313,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
133,516808.4985,3729607.0973,-0.0424,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,516811.5080,3729607.1320,0.3529,0.0190,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
135,516797.1341,3729609.7512,-0.1261,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
136,516800.7238,3729609.5600,-0.0976,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,516803.9409,3729609.6006,0.1432,0.0053,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
138,516807.1030,3729609.6423,-0.1141,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,516795.3629,3729612.5914,-0.1343,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140,516775.7748,3729652.7900,0.8526,2.8492,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
141,516782.4344,3729618.5954,0.0068,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,516780.6610,3729621.4180,-0.2227,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
143,516779.0981,3729624.2996,-0.3946,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
144,516787.5628,3729615.5790,0.4211,0.0613,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,516790.5864,3729615.5677,0.2134,0.0040,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
146,516785.8398,3729618.3653,0.2315,0.0350,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,516778.2210,3729645.5837,0.3077,1.1637,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,516793.7024,3729615.4638,-0.1544,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,516779.0662,3729646.3384,0.1216,1.2863,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,516777.5188,3729649.8679,0.6282,1.9616,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
151,516777.3668,3729651.8009,0.6265,2.4966,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
152,516779.6859,3729647.2076,0.0876,0.6366,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
153,516779.8941,3729648.2381,0.1096,0.2685,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
154,516779.2400,3729649.4481,-0.1623,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
155,516819.0727,3729598.7894,-0.1753,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
156,516822.4125,3729598.8244,-0.0467,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
157,516817.6137,3729601.7723,-0.2845,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
158,516815.9993,3729604.4610,-0.4101,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
159,516814.3897,3729607.1006,-0.2691,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
160,516825.5206,3729599.1059,0.1340,0.0353,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
161,516824.2997,3729591.1885,0.0613,0.0208,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
162,516824.3925,3729596.0449,0.1035,0.0239,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
163,516833.2233,3729586.1142,0.1906,0.1267,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
164,516828.7401,3729588.6683,0.1215,0.1128,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
165,516841.0688,3729586.2315,0.1506,0.0271,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
166,516843.2202,3729588.3948,0.0819,0.0028,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
167,516845.3032,3729590.3742,-0.0965,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
168,516837.1058,3729588.3212,0.0929,0.1562,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
169,516774.3215,3729659.5079,1.0952,2.6396,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
170,516772.6945,3729658.5132,0.9088,2.5917,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
171,516771.1008,3729657.5171,0.6909,2.4975,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
172,516769.5267,3729656.5166,0.6969,2.3898,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
173,516777.6053,3729627.0468,0.0264,0.2135,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
174,516776.1056,3729624.3760,0.1888,0.2951,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
175,516790.1239,3729571.5951,0.3687,0.6794,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
176,516777.8062,3729610.1959,0.5619,0.1948,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
177,516779.5034,3729607.4015,0.4732,0.1618,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
178,516774.4123,3729610.2078,0.8861,1.1846,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
179,516792.4763,3729601.6507,0.0937,0.0160,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
180,516787.7122,3729604.4679,0.6733,0.0427,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
181,516789.3203,3729601.7295,0.5139,0.1139,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
182,516784.5130,3729604.5554,0.5489,0.2294,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
183,516781.2582,3729604.6548,0.3642,0.3989,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
184,516788.3156,3729574.2552,0.4428,0.5590,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
185,516791.7602,3729575.4254,0.2481,0.5152,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
186,516794.3996,3729578.2467,0.1204,0.4455,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
187,516795.1270,3729582.0058,0.0336,0.0255,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
188,516793.9611,3729598.6988,-0.1051,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
189,516795.5669,3729595.8392,-0.1941,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
190,516795.5637,3729586.3317,-0.0650,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
191,516795.5531,3729591.1770,-0.1294,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
192,516776.0915,3729618.7274,0.6191,0.1575,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
193,516774.4469,3729621.5704,0.6399,1.3832,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
194,516774.4490,3729615.9822,0.8388,1.5210,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
195,516772.8062,3729613.0961,0.9905,1.8649,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
196,516777.3791,3729643.7045,0.4678,1.7825,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
197,516777.0396,3729644.9748,0.6884,1.7340,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
198,516776.9230,3729646.3828,0.8194,1.7173,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
199,516775.5929,3729647.7802,0.8659,2.4710,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200,516774.2847,3729649.7835,0.8870,3.0577,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
201,516772.7035,3729652.8410,1.0341,2.8478,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
202,516772.7369,3729651.0213,0.9942,3.0334,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
203,516771.0724,3729653.7089,0.7872,2.6230,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
204,516769.4881,3729654.5801,0.6576,2.4820,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
205,516767.8730,3729655.5018,0.8030,2.5703,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
206,516775.7568,3729654.7375,0.8729,2.9157,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
207,516775.7788,3729656.6769,0.9730,2.7990,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
208,516775.8536,3729658.6038,1.0821,2.6227,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
209,516775.8830,3729660.4967,1.0930,2.7139,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
210,516810.1737,3729609.7661,0.1356,0.0189,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
211,516812.8771,3729609.7303,0.0671,0.0066,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
212,516798.8464,3729612.4690,-0.0833,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
213,516802.3272,3729612.3435,-0.0812,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
214,516805.5961,3729612.2850,0.0429,0.0016,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
215,516808.6707,3729612.3738,-0.1194,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
216,516796.9803,3729615.3800,-0.0917,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
217,516777.3331,3729653.7719,0.6768,2.5722,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
218,516783.9521,3729621.2910,0.1027,0.0066,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
219,516782.1374,3729624.1825,0.0582,0.0016,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
220,516779.0277,3729629.6897,-0.2259,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
221,516780.4461,3729626.9814,-0.1755,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
222,516789.0634,3729618.2792,0.4597,0.0188,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
223,516792.1242,3729618.2467,0.0085,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
224,516787.3320,3729621.1288,0.2443,0.0388,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
225,516778.5710,3729644.1510,0.1805,0.8382,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
226,516779.5644,3729644.9740,0.1523,0.4677,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
227,516795.1702,3729618.2437,-0.1170,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
228,516780.2306,3729646.0977,0.0822,0.1071,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
229,516778.8548,3729650.9673,0.0339,0.3440,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230,516778.8328,3729652.7917,0.2503,0.4911,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,516780.6654,3729647.2836,0.0306,0.1432,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
232,516780.3374,3729650.1927,-0.1131,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
