"","date","discharge"
"756",2013-01-12,5.32416
"757",2013-01-13,5.35248
"758",2013-01-14,5.3808
"759",2013-01-15,5.40912
"760",2013-01-16,5.3808
"761",2013-01-17,5.43744
"762",2013-01-18,5.3808
"763",2013-01-19,5.32416
"764",2013-01-20,5.32416
"765",2013-01-21,5.29584
"766",2013-01-22,5.32416
"767",2013-01-23,5.26752
"768",2013-01-24,5.29584
"769",2013-01-25,5.3808
"770",2013-01-26,5.91888
"771",2013-01-27,107.4744
"772",2013-01-28,220.896
"773",2013-01-29,60.3216
"774",2013-01-30,20.41164
"775",2013-01-31,13.6998
"776",2014-01-01,4.75776
"777",2014-01-02,4.75776
"778",2014-01-03,4.73652
"779",2014-01-04,4.71528
"780",2014-01-05,4.75776
"781",2014-01-06,4.75776
"782",2014-01-07,4.75776
"783",2014-01-08,4.779
"784",2014-01-09,4.75776
"785",2014-01-10,4.71528
"786",2014-01-11,6.0888
"787",2014-01-12,6.14544
"788",2014-01-13,6.11712
"789",2014-01-14,6.20208
"790",2014-01-15,6.17376
"791",2014-01-16,6.0888
"792",2014-01-17,6.00384
"793",2014-01-18,6.00384
"794",2014-01-19,6.0888
"795",2014-01-20,6.11712
"796",2014-01-21,6.17376
"797",2014-01-22,4.6728
"798",2014-01-23,4.69404
"799",2014-01-24,4.6728
"800",2014-01-25,6.20208
"801",2014-01-26,4.71528
"802",2014-01-27,4.6728
"803",2014-01-28,4.73652
"804",2014-01-29,4.779
"805",2014-01-30,4.779
"806",2014-01-31,4.779
"807",2015-01-01,4.75776
"808",2015-01-02,4.6728
"809",2015-01-03,6.14544
"810",2015-01-04,6.00384
"811",2015-01-05,6.00384
"812",2015-01-06,6.00384
"813",2015-01-07,6.03216
"814",2015-01-08,6.00384
"815",2015-01-09,5.91888
"816",2015-01-10,6.06048
"817",2015-01-11,4.69404
"818",2015-01-12,4.9914
"819",2015-01-13,5.86224
"820",2015-01-14,17.05572
"821",2015-01-15,17.67168
"822",2015-01-16,12.68028
"823",2015-01-17,9.30312
"824",2015-01-18,7.71012
"825",2015-01-19,6.6906
"826",2015-01-20,6.1596
"827",2015-01-21,5.841
"828",2015-01-22,5.56488
"829",2015-01-23,5.37372
"830",2015-01-24,5.16132
"831",2015-01-25,4.97016
"832",2015-01-26,4.80024
"833",2015-01-27,4.73652
"834",2015-01-28,6.17376
"835",2015-01-29,6.14544
"836",2015-01-30,4.8852
"837",2015-01-31,10.85364
"838",2016-01-01,5.57904
"839",2016-01-02,5.55072
"840",2016-01-03,5.5224
"841",2016-01-04,5.55072
"842",2016-01-05,5.57904
"843",2016-01-06,4.80024
"844",2016-01-07,13.25376
"845",2016-01-08,13.95468
"846",2016-01-09,10.06776
"847",2016-01-10,7.79508
"848",2016-01-11,6.64812
"849",2016-01-12,6.13836
"850",2016-01-13,5.69232
"851",2016-01-14,5.4162
"852",2016-01-15,5.35248
"853",2016-01-16,5.47992
"854",2016-01-17,5.39496
"855",2016-01-18,5.07636
"856",2016-01-19,5.05512
"857",2016-01-20,5.33124
"858",2016-01-21,5.71356
"859",2016-01-22,7.13664
"860",2016-01-23,7.0092
"861",2016-01-24,6.96672
"862",2016-01-25,7.49772
"863",2016-01-26,7.6464
"864",2016-01-27,6.77556
"865",2016-01-28,6.0534
"866",2016-01-29,5.5224
"867",2016-01-30,5.841
"868",2016-01-31,6.39324
"869",2017-01-01,105.7752
"870",2017-01-02,107.4744
"871",2017-01-03,56.4984
"872",2017-01-04,30.1608
"873",2017-01-05,21.09132
"874",2017-01-06,32.2848
"875",2017-01-07,43.542
"876",2017-01-08,22.5144
"877",2017-01-09,15.95124
"878",2017-01-10,20.4966
"879",2017-01-11,32.0724
"880",2017-01-12,24.426
"881",2017-01-13,17.54424
"882",2017-01-14,13.21128
"883",2017-01-15,25.488
"884",2017-01-16,35.2584
"885",2017-01-17,34.6212
"886",2017-01-18,20.26296
"887",2017-01-19,13.74228
"888",2017-01-20,10.95984
"889",2017-01-21,21.4524
"890",2017-01-22,25.7004
"891",2017-01-23,16.33356
"892",2017-01-24,22.302
"893",2017-01-25,18.9036
